Article,Fig,X_axis_label,Rate,Pyruvate,NADH,Lactate,NAD,Raw_X_axis,Raw_Y_axis,Raw_Vmax
Zewe_JBC_1962,Fig10,NADH,0.761596196,4.60E-04,3.2438E-05,0.00E+00,0,3.08280543,1.91631703,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.640090583,4.60E-04,2.28117E-05,0.00E+00,0,4.38370858,2.28008316,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.58341388,4.60E-04,1.6327E-05,0.00E+00,0,6.12481451,2.5015856,1.45945976
Zewe_JBC_1962,Fig10,NADH,0.52936596,4.60E-04,1.29549E-05,0.00E+00,0,7.71906566,2.75699586,1.45945976
Zewe_JBC_1962,Fig11,NAD,-0.423211003,0.00E+00,2.75E-05,1.08E-02,0.001812925,5.51594747,1.73672233,0.735
Zewe_JBC_1962,Fig11,NAD,-0.341560319,0.00E+00,2.75E-05,1.08E-02,0.001415671,7.06378987,2.15188931,0.735
Zewe_JBC_1962,Fig11,NAD,-0.287765901,0.00E+00,2.75E-05,1.08E-02,0.001063872,9.39962477,2.55415947,0.735
Zewe_JBC_1962,Fig11,NAD,-0.220007233,0.00E+00,2.75E-05,1.08E-02,0.000886118,11.2851782,3.34079925,0.735
Zewe_JBC_1962,Fig11,NAD,-0.205556433,0.00E+00,2.75E-05,1.08E-02,0.000712091,14.043152,3.57566041,0.735
Zewe_JBC_1962,Fig11,NAD,-0.514431472,0.00E+00,1.65E-05,1.08E-02,0.001803723,5.54409006,1.42876173,0.735
Zewe_JBC_1962,Fig11,NAD,-0.449857723,0.00E+00,1.65E-05,1.08E-02,0.001421333,7.03564728,1.63384991,0.735
Zewe_JBC_1962,Fig11,NAD,-0.387633678,0.00E+00,1.65E-05,1.08E-02,0.001067067,9.37148218,1.89612008,0.735
Zewe_JBC_1962,Fig11,NAD,-0.343978758,0.00E+00,1.65E-05,1.08E-02,0.000888333,11.2570356,2.13675985,0.735
Zewe_JBC_1962,Fig11,NAD,-0.282407618,0.00E+00,1.65E-05,1.08E-02,0.000713521,14.0150094,2.60262101,0.735
Zewe_JBC_1962,Fig11,NAD,-0.603071119,0.00E+00,8.30E-06,1.08E-02,0.001803723,5.54409006,1.21876173,0.735
Zewe_JBC_1962,Fig11,NAD,-0.572496827,0.00E+00,8.30E-06,1.08E-02,0.001421333,7.03564728,1.28384991,0.735
Zewe_JBC_1962,Fig11,NAD,-0.512509385,0.00E+00,8.30E-06,1.08E-02,0.001067067,9.37148218,1.43412008,0.735
Zewe_JBC_1962,Fig11,NAD,-0.444452386,0.00E+00,8.30E-06,1.08E-02,0.00089056,11.2288931,1.65372045,0.735
Zewe_JBC_1962,Fig11,NAD,-0.387735732,0.00E+00,8.30E-06,1.08E-02,0.000713521,14.0150094,1.89562101,0.735
Zewe_JBC_1962,Fig11,NAD,-0.668350528,0.00E+00,4.10E-06,1.08E-02,0.001812925,5.51594747,1.09972233,0.735
